location,Coords,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
SURENDRANAGAR,"(22.75, 71.666667)",0,0.1,0.3,4.7,99.7,168.8,148.1,83.2,17.5,11.3,0.7,
PORBANDAR,"(21.6409, 69.611)",0.9,1.3,0.1,1.6,166.3,277.3,145.6,83.5,25.2,13.7,0.6,
DNH,"(37.1438001, 35.4984094)",0.3,0,0,7.4,385.1,884.5,655.9,391.4,38.6,10.5,0,
DAMAN,"(20.42000485, 72.86376290300566)",0.3,0,0,7.4,385.1,884.5,655.9,391.4,38.6,10.5,0,
DIU,"(20.718174949999998, 70.93238341010638)",0.7,0.4,0.2,0.9,167.9,281.7,133.3,63.8,32.5,14.3,0.9,
MUMBAI CITY,"(18.9733536, 72.82810491917377)",1,0.4,1,18,539,785.4,508.7,309.3,77.1,12.3,4.3,
RAIGAD,"(18.4928092, 73.13807095426539)",0.2,0.1,1.8,20.3,656.8,1209.8,852.8,398.3,114.6,19.7,4.3,
RATNAGIRI,"(17.282607900000002, 73.4569787039826)",0,0.1,3.5,31.7,829.9,1212.7,859.2,359.7,143.1,24.9,5.7,
THANE,"(19.1943294, 72.9701779)",0.3,0.3,0.7,13.9,436.4,973.7,677.8,340.4,84.5,12.4,1.5,
SINDHUDURG,"(16.135719299999998, 73.65220860183584)",0.1,0.4,4.3,58.9,909.5,1100,706.9,305.4,142.9,30.5,10,
MUMBAI SUB,"(20.280945, 72.955705)",1,0.4,1,18,539,785.4,508.7,309.3,77.1,12.3,4.3,
NORTH GOA,"(15.60444125, 74.00172406307475)",0,0.7,9,94.3,949.8,1182.6,730.2,292.3,165.7,35.1,11.3,
SOUTH GOA,"(15.21961365, 74.1152813019196)",0.1,0.4,6.6,81.2,866.4,1033.6,637.4,269.5,145.7,34.9,9.1,
AHMEDNAGAR,"(19.162772500000003, 74.85802430085195)",1.3,3,5.3,21.6,104.9,101.8,91.8,139.1,73.8,22.5,7.5,
DHULE,"(21.13170235, 74.48990147066098)",1,3.2,1.6,10.3,117.5,168.9,131.4,105.7,43.5,16.7,4.9,
JALGAON,"(20.84288265, 75.52612463784979)",2.4,4.3,1.4,7.5,132.1,191,195.6,123.1,46.1,17.1,7,
KOLHAPUR,"(16.7028412, 74.2405329)",0.8,4.6,25.9,60.2,351.5,723.7,477.2,185.2,125,30.4,7.3,
NASHIK,"(20.0112475, 73.7902364)",0.5,1,4.7,15.1,154.9,315,259,183.3,68,22.3,4.6,
PUNE,"(18.521428, 73.8544541)",0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6,
SANGLI,"(17.1726928, 74.58676543279755)",0.8,4.3,22.6,54,119,150.6,107.2,131.3,108.3,25.2,5.6,
SATARA,"(17.63612885, 74.29827807601782)",0.7,3.1,14,36.4,150.7,254.4,175.2,143.5,95.6,29.9,8.3,
SOLAPUR,"(17.84990665, 75.27632027348457)",1.5,3.4,9.2,29.8,102.7,99.8,101.6,170.1,94.5,24.6,6.6,
NANDURBAR,"(21.51450155, 74.54070114836503)",0,0.3,1.5,9.3,137.6,301.4,243.3,146.1,37.2,10.6,2.4,
AURANGABAD,"(24.786306, 84.41448983395554)",1.6,3.1,2.8,17.1,130.4,156.3,157.9,149.6,59.2,25,10.7,
BEED,"(18.9918442, 75.90978399809711)",2,3.8,7,19.7,128.3,136.2,137,167.9,71.3,22.6,10.1,
NANDED,"(19.09400875, 77.48319215130235)",4.5,8.4,8.8,15.9,155.2,247.1,242.6,171.5,79.9,16.2,6.1,
OSMANABAD,"(18.28224535, 76.05881660170444)",2.6,3.9,7.5,26.3,132.1,154.2,154.2,182.9,85.3,22.3,4.6,
PARBHANI,"(19.29031365, 76.60290343431203)",2.9,7.9,7.5,14.4,154.6,215.3,219.9,167.4,74.4,16.9,10,
LATUR,"(18.35159075, 76.75542361334745)",3.6,7.8,11.5,21.1,144.8,217.9,220.4,169.4,81,22.4,5.7,
JALNA,"(19.918832950000002, 75.87085986165867)",2,4.5,2.7,17.5,139.3,165,159.9,142.2,61.2,24.1,8.1,
HINGOLI,"(19.54140965, 77.17376601317515)",4.8,7.2,6.1,13.4,185.2,243.3,255.7,164.9,66.2,18.2,9.4,
AKOLA,"(20.76181225, 77.1921156663574)",5.3,8.8,4.4,9.7,142.9,226.3,204.3,128.8,52.8,16.7,6.8,
AMRAVATI,"(21.15454115, 77.64429617998744)",6.3,7.8,3.7,6.4,137.2,254.2,243.8,151.4,53,15.2,8.3,
BHANDARA,"(21.12304765, 79.79390882119336)",13.2,17.7,10.2,11.4,168,376.4,391.2,201.6,61.8,13.4,11.9,
BULDHANA,"(20.562845000000003, 76.40869861474177)",3,6.1,2.9,8,139.7,191.5,195.3,120.1,52.7,16,7,
CHANDRAPUR,"(20.0967555, 79.50454752230621)",8.9,14.6,10.8,11.6,180.6,374,374.1,203.1,65.1,9.9,7.9,
NAGPUR,"(21.1498134, 79.0820556)",10.9,15.9,9.7,11,158,308.9,280.6,176.4,56.9,14.3,12.1,
YAVATMAL,"(20.325703750000002, 78.11691396684715)",4.6,11,7.7,11.9,173.6,267.1,262.8,151.5,61.9,13.2,8.9,
WARDHA,"(20.82562315, 78.61314549522919)",9.2,13.1,8.5,15.9,169.7,273.6,273.2,163.8,57.9,15.1,15.8,
GADCHIROLI,"(19.759070350000002, 80.16228072580182)",7.6,14,12.2,17,209.2,454,441.4,198.4,68.8,11.2,6.4,
WASHIM,"(20.287417750000003, 77.23696550258964)",5.7,7.5,4.9,8.3,173,245.4,250.4,156.8,61,11.5,7.4,
GONDIA,"(21.455228, 80.1962729)",11.2,16.3,9.1,8.4,174.1,418.1,424.3,212.3,58.9,10.7,12.1,
BASTAR,"(19.11912825, 81.82918648971713)",8.6,16.2,36.7,38.6,203.8,350.9,373.9,225.6,81.4,12.4,6.3,
BILASPUR,"(28.8680526, 79.29838501460121)",17.2,17.9,15,18.1,171.1,357.9,336.3,202.5,54.8,9.4,11.4,
DURG,"(21.1982964, 81.40079215767969)",5.7,12.3,7,9.3,173,325.6,320.7,198.7,56.5,4.7,3,
RAIGARH,"(22.5, 83.5)",12.8,11.6,11.4,18.3,179.8,373.2,356.9,233.6,49.5,6.6,5.2,
RAIPUR,"(21.2380912, 81.6336993)",8.5,12.3,9.2,16.5,170.3,352.9,327.1,196.7,52.6,7.4,4.6,
SURGUJA,"(23.25, 83.0)",15.1,13.6,8.5,14.5,198.5,393.7,379.2,223.7,50.7,9.2,6.5,
RAJNANDGAON,"(21.06844245, 80.797077941564)",9.2,12.6,7.8,15.5,169.3,351.6,341.1,214.6,60.9,8.4,9.3,
DANTEWADA,"(18.8640648, 81.38339468738648)",0.8,4.5,14.7,21.9,180.5,407.9,381,208.7,93.2,10.8,1.3,
KORBA,"(22.3547468, 82.7110855)",15.4,15.8,12.4,12.2,183.2,409.8,434.7,215.8,47.1,14.2,7.7,
JASHPUR,"(22.770251000000002, 83.97080132252168)",21.2,13.8,17.9,31.6,245.2,428.6,417.4,257.4,75.5,9,7.2,
DHAMTARI,"(20.7084545, 81.5481305)",9,11.4,11.3,17.2,157.9,357.8,326.6,208.3,57.8,4.2,3.2,
MAHASAMUND,"(21.19228455, 82.48902633077708)",7.8,12.2,5.6,10.4,171.8,332.4,339.9,199.9,49.8,5.3,2.5,
KORIYA,"(23.431601399999998, 82.31383043383778)",7.2,9.8,4.3,5.8,159.7,389.1,382.8,207.3,29.2,6.4,5.9,
NARAYANPUR,"(25.3668391, 86.87280600389312)",8.7,14.7,22.7,24.5,189.3,399.9,425.7,212.5,84.7,10.9,4,
BIJAPUR,"(18.7935679, 80.815939)",4.2,11.9,18.9,12.4,195.9,458.2,486.1,228.9,92.8,9.4,3.3,
EAST GODAVARI,"(16.99842865, 81.71561488059287)",10.1,11.3,22.8,75.3,131.9,206.4,188.4,177.2,199,69.8,7.8,
WEST GODAVARI,"(16.63713765, 81.58909665667748)",10.7,8.7,19,55.8,135.8,240.2,227.8,180.1,197.8,66.7,11.7,
GUNTUR,"(16.2915189, 80.4541588)",7.7,7.7,15,58.4,90.2,147.3,155.4,150.1,143.9,75.8,14.5,
KRISHNA,"(16.21399145, 81.02572813603345)",6.3,8.7,16.9,46.8,120.9,216.6,194.2,169.7,164.2,66.1,12.1,
NELLORE,"(14.4493717, 79.9873763)",11.6,6,15.2,51.4,53.4,91.2,95,112.8,248.2,283.9,107.2,
PRAKASAM,"(15.6589741, 79.47164372680194)",8.8,10.5,14.9,52.3,64.3,99.3,95.9,123,181.9,115,32.1,
SRIKAKULAM,"(18.32002205, 83.91607719937166)",18.1,17.2,26.3,63.9,145,190.2,202.4,208.1,211.4,69.8,4.9,
VISAKHAPATNAM,"(17.7231276, 83.3012842)",10.8,17.6,44.7,96.6,132.6,178.2,178.2,185.4,204.3,59.2,4.3,
VIZIANAGARAM,"(18.1120819, 83.4052196224888)",14.4,17.7,32.3,90.7,140.7,181.5,194.8,209.1,188.1,56.3,6.1,
ADILABAD,"(19.5, 78.5)",7,11.4,11.9,18.2,178.4,317.4,291.7,171.4,83,14.8,7.3,
HYDERABAD,"(17.360589, 78.4740613)",7.4,14.6,20.4,33.8,110.7,176.8,190.5,165.5,95.6,23.7,6.4,
KARIMNAGAR,"(18.4348122, 79.1328042)",5.6,10.8,15.7,24,153.2,257.3,226.7,163.1,85.9,20.8,5.9,
KHAMMAM,"(17.5, 80.333333)",7.1,10.6,23.8,52.6,150.3,282.8,256.4,170.9,106.9,24.5,4.5,
MAHABUBNAGAR,"(16.696568550000002, 77.95911462089693)",2.9,5.6,16.6,34.1,91.1,161.6,158.2,148.8,85.4,21.2,3.8,
MEDAK,"(17.9375095, 78.21174498510584)",4.9,9.5,18.8,28,138.2,229.4,211.1,165.2,86.6,19.3,4.8,
NALGONDA,"(16.8579636, 79.21749353315548)",4.3,9.2,15.1,28.7,103.2,154.7,147.2,149.6,105.8,32,6.6,
NIZAMABAD,"(26.055317950000003, 82.99313867937335)",4.4,8.8,12.3,24.5,161.3,289.4,296.5,172.9,91.3,17.1,5.5,
WARANGAL,"(17.9820644, 79.5970954)",7.8,12.3,14.2,28.7,147.6,271.2,222.3,155.5,88.9,22.9,7.2,
RANGAREDDY,"(17.133395399999998, 78.3970978701631)",4,7.4,21.1,34.6,109.4,190.6,176.5,177.2,94.5,19.1,4.3,
ANANTAPUR,"(14.6546235, 77.55625984224562)",3.3,6.1,18.9,56.7,55.2,64.3,74.5,128.8,115,35.3,11.6,
CHITTOOR,"(13.1601048, 79.15555061803596)",7.6,10.1,25.6,67.2,66.8,100.1,110.2,140,167.2,137.3,58.4,
KURNOOL,"(15.8309251, 78.0425373)",1.9,5.7,18.3,51.7,80.5,115.8,124.3,139.6,105.6,28.4,6.6,
VELLORE,"(12.7948109, 79.0006410968549)",6.8,9.2,22.3,75,65.9,107.3,129,163.9,163.2,127.2,58.3,
COIMBATORE,"(11.0018115, 76.9628425)",12.2,17.2,53.4,79.7,32.9,47.2,40.6,69.1,151.9,129.6,47.4,
DHARMAPURI,"(12.09680475, 78.19304301026716)",10.2,15.9,41.7,102.8,53.6,77.9,99.3,162.6,180.5,103.3,46.3,
KANYAKUMARI,"(8.079252, 77.5499338)",22,42.5,104.3,141.5,186.1,112.5,76.7,102.1,226.3,208.6,61.5,
CHENNAI,"(13.0836939, 80.270186)",14.6,3,12,43.5,64.1,108.6,147.9,118.5,266.5,367.8,155.6,
MADURAI,"(9.9261153, 78.1140983)",14.5,20.6,57.8,66.4,48.7,66.6,87.3,133.3,206.2,151.3,61.6,
NILGIRIS,"(13.0698579, 80.2248039)",26.2,35.6,82.4,117.3,169.8,260.8,180.9,148.4,217.9,181.2,79.1,
RAMANATHAPURA,"(13.3085506, 77.6381078)",18.3,23.5,53,39,16.9,30.1,44.2,58.1,182.4,187.2,122.1,
