location,Coords,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
NICOBAR,"(7.0, 93.0)",57.9,65.2,117,358.5,295.5,285,271.9,354.8,326,315.2,250.9,
SOUTH ANDAMAN,"(11.7232031, 92.7011101945954)",26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,
LOHIT,"(27.8239052, 95.861898)",80.8,176.4,358.5,306.4,447,660.1,427.8,313.6,167.1,34.1,29.8,
EAST SIANG,"(28.3, 95.15)",79.5,105.9,216.5,323,738.3,990.9,711.2,568,206.9,29.5,31.7,
SUBANSIRI,"(27.21097645, 94.31944632429219)",48.3,85.3,101.5,140.5,228.4,217.4,182.8,159.8,75.9,20.9,11.6,
TIRAP,"(27.03016895, 95.49791754505583)",72.7,141,316.9,328.7,614.7,851.9,500.6,418.3,218.7,42.9,22.9,
ANJAW (LOHIT),"(28.0559666, 96.8033699)",80.8,176.4,358.5,306.4,447,660.1,427.8,313.6,167.1,34.1,29.8,
LOWER DIBANG,"(28.0463795, 95.6622503)",153.9,303.5,383.6,268,374.2,272,160.5,266.7,167.2,64,56,
CHANGLANG,"(27.1398402, 95.7382485)",170.9,367.9,554.4,334.2,526.2,460.8,291.5,353.6,275,64.9,74.2,
PAPUM PARE,"(27.286366649999998, 93.61877159710389)",67.8,106.1,226.9,453,640.5,609.5,503.4,492.3,214.7,19.2,11.3,
LOW SUBANSIRI,"(27.8, 93.6)",109.3,92.4,204.3,266.2,284.1,248.9,270.5,192.7,78.5,49.5,27.2,
UPPER SIANG,"(28.73120455, 95.03773151350946)",176.7,362.6,397.5,408.7,801.9,653,417.9,686,264.9,86.9,71.7,
WEST SIANG,"(28.4, 94.55)",66.7,76.8,229.2,239.5,416.6,592.4,312.4,291.1,126.8,33.7,29.5,
DIBANG VALLEY,"(28.0463795, 95.6622503)",153.9,303.5,383.6,268,374.2,272,160.5,266.7,167.2,64,56,
WEST KAMENG,"(27.4, 92.35)",43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27,
EAST KAMENG,"(27.3, 93.05)",74.4,96.5,156.9,208,345.7,368.5,256.2,275.9,138.2,34.4,27.2,
TAWANG,"(27.5879186, 91.863733)",43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27,
KURUNG KUMEY,"(28.1990234, 93.0591774)",70,128.2,245.7,271.4,292.7,404,276.3,283.5,92.3,32.3,42.4,
CACHAR,"(24.758639950000003, 92.88166475768219)",50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,
DARRANG,"(26.75, 92.5)",21.4,53.5,168.8,320,419.7,345.8,272.1,221.5,95.4,17.2,9.3,
GOALPARA,"(26.1783623, 90.6226683)",20.4,51.1,196.6,399.8,567.8,502.8,334.6,304.9,157.7,21.7,5.2,
KAMRUP,"(26.14688605, 91.22273972821812)",20.8,58.6,151.7,293.4,365.5,345.1,248.7,188.4,106.6,15.1,7.5,
LAKHIMPUR,"(27.0827158, 93.9978423)",48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23,20.4,
NORTH CACHAR,"(25.5, 93.0)",47.5,158.9,207.9,308,328.1,270.3,201.3,189.1,196.4,42.1,11.2,
NAGAON,"(26.30414915, 92.71605974430346)",22.5,48.1,128.9,171.3,285.9,326.3,294.1,218.6,120,21.6,10.8,
SIVASAGAR,"(26.9834936, 94.6394226)",33.2,78.3,126.5,257.1,255.5,374.8,342.3,196.9,96.3,20.3,10.3,
BARPETA,"(26.34142215, 91.01674328474073)",26.9,54,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,
DHUBRI,"(26.01894625, 89.94188952461522)",11.7,46.6,147.5,391.6,603,554.7,418.7,340.1,155.1,19.2,4.1,
DIBRUGARH,"(27.4844597, 94.9019447)",53.1,119.8,229.9,292.4,401,519.4,405.1,325.9,136.9,24,18.5,
JORHAT,"(26.7577925, 94.2079645)",36.7,80.1,204.6,277.4,288.8,390.7,346.9,272.7,121.7,25.6,15.6,
KARIMGANJ,"(24.8483482, 92.33221292310328)",35.2,169.7,340.4,604,645.2,646,438,418.7,240.4,86.8,13.2,
KOKRAJHAR,"(26.58687695, 90.29293105124796)",27.9,45.8,216.4,461.1,822.2,864.2,677.1,462.9,159.5,18.1,6.1,
GOLAGHAT,"(26.40490095, 94.03209112120626)",29.5,65.2,135.9,245.6,254.2,314.7,271.4,209.3,103.7,19.6,14.7,
TINSUKIA,"(27.52016575, 95.5306347312879)",58.4,131.2,215.9,272.7,388.3,515.3,387.2,327,118.7,25.1,18.9,
HAILAKANDI,"(24.68845365, 92.57381528240943)",42,123.8,239,416.2,470.4,426.8,406.9,317,150.6,36.5,9.1,
DHEMAJI,"(27.466831499999998, 94.51786508708852)",48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23,20.4,
KARBI ANGLONG,"(26.0, 93.5)",24.1,53.8,106.3,139.4,224.9,238.7,220.5,182.9,100.1,26.3,11.2,
UDALGURI,"(26.7503815, 92.0977245)",21.4,53.5,168.8,320,419.7,345.8,272.1,221.5,95.4,17.2,9.3,
CHIRANG,"(26.6464231, 90.62415698729875)",31.2,57.5,183.4,442,626.3,776.6,486.8,406.4,168.2,18.7,11.6,
BAKSA BARPETA,"(26.4908364, 90.9685928)",26.9,54,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,
BONGAIGAON,"(26.412376950000002, 90.57149765106257)",31.2,57.5,183.4,442,626.3,776.6,486.8,406.4,168.2,18.7,11.6,
MORIGAON,"(26.2551482, 92.3290878)",24.4,51.6,116.8,169.1,310.1,374.8,309.2,221.4,119.3,19.9,8.2,
NALBARI,"(26.42386165, 91.45122754621168)",18.6,56.7,184.6,380.7,551.2,470.9,322,220.2,110.4,21.6,4.8,
JAINTIA HILLS,"(25.5, 92.25)",44.1,115.1,282.3,598.8,1316.1,1591.3,933.8,826.3,517.7,110.9,9.7,
RI-BHOI,"(25.87640255, 91.85675741641606)",15.1,55.8,117.1,273.3,340.5,425.6,400.2,313.2,125.4,25.7,8.8,
W KHASI HILL,"(25.5730198, 91.88907651723758)",31.1,61.3,160.5,352.3,651.5,1050.3,607.9,465.3,192.5,32.1,18.5,
IMPHAL EAST,"(24.85154025, 94.00947957721581)",34.3,84.5,145.5,208.9,370.7,324,280.4,189.1,144,36.1,8.2,
SENAPATI,"(25.380439600000003, 94.0569854178655)",29.9,47.5,124.7,198.4,368.2,366.1,326.6,220.1,156,57,14.8,
TAMENGLONG,"(24.935401300000002, 93.56791112289724)",229.6,224.5,431.5,539.9,1158.7,1820.9,1522.1,726.3,376.1,144,7.2,
CHANDEL,"(24.3197442, 94.0210988225432)",27.9,36.3,77.9,179,609.9,540.3,490.9,366,254.9,48.3,7.6,
UKHRUL,"(25.0982654, 94.363167)",36.1,56.9,76.6,122.2,348.3,296.8,243.3,169.1,122.7,49.4,13.1,
THOUBAL,"(24.624587, 94.04247928402684)",26.2,43.1,96.2,140.1,333,181.7,212.1,106.8,94.6,27.9,9.3,
BISHNUPUR,"(24.562463649999998, 93.8012483746545)",50,112.4,108.1,159.3,435.6,310.4,368.9,219.4,237,56.9,15,
IMPHAL WEST,"(24.757326, 93.85847858025147)",31,63.8,109.1,134.6,337.3,234.7,239.3,160.5,144.5,34.3,19.5,
CHURACHANDPUR,"(24.378704, 93.69700149533944)",31.1,72.7,187.3,238,422.1,407.6,382.6,348.3,173.2,50.1,11.4,
AIZAWL,"(23.7435236, 92.7382905)",31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,
CHAMPHAI,"(23.6317319, 93.34931854269607)",21.8,83,122.7,261.5,350.5,369.3,336.6,296.1,226.7,64.5,22.5,
KOLASIB,"(24.18947525, 92.7133181281124)",40,131.6,183.5,316.4,437.6,431.9,453.2,369.8,219.8,49.9,12.9,
LUNGLEI,"(22.898553, 92.75192291719874)",21.8,88,119.3,310.3,459.4,514.6,481.7,410.6,245.4,65.9,8.6,
LAWNGTLAI,"(22.34596495, 92.8119536068969)",27.5,66.7,122.9,319.8,437.2,493.9,408.8,365.8,231.5,66,9.2,
MAMIT,"(23.75590845, 92.45173568830637)",31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,
SAIHA,"(22.4995518, 92.97798988717027)",31,69.7,116.7,335.4,384.8,437.9,412.2,387.7,214.2,67.9,16.4,
SERCHHIP,"(23.385892300000002, 92.930598908176)",33.8,103.6,150.9,294.3,395.9,477.1,430.7,346.7,167.3,71.6,18.5,
KOHIMA,"(25.75, 94.166667)",28.8,55.8,89.8,162,308.2,365.4,376.1,258.3,130.2,31.8,6.1,
TUENSANG,"(26.168505500000002, 94.85819821659115)",26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,
MOKOKCHUNG,"(26.4795861, 94.51052754768273)",31.1,60.9,138.3,287.1,525.5,525.1,394.2,231.3,137.3,43.1,12.5,
DIMAPUR,"(25.911744, 93.721703)",4.1,57.2,77.8,151.8,204.8,187.7,272,150.8,125,43.7,16.3,
WOKHA,"(26.166667, 94.25)",42.1,96.7,144.3,325.6,416.3,495.6,478.9,277.9,127.7,55.7,16.5,
MON,"(50.4549568, 3.951958)",33.5,48.2,137.9,193.9,271.1,273.6,177.4,101.8,62.1,19.8,7.5,
ZUNHEBOTO,"(26.0, 94.5)",26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,
PHEK,"(25.75, 94.5)",28.8,55.8,89.8,162,308.2,365.4,376.1,258.3,130.2,31.8,6.1,
LONGLENG,"(26.49031725, 94.77214247303138)",26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,
PEREN,"(25.47907705, 93.72563659313207)",28.8,55.8,89.8,162,308.2,365.4,376.1,258.3,130.2,31.8,6.1,
NORTH TRIPURA,"(24.092147599999997, 92.24512135019847)",37.2,118.4,272.8,440.1,477.5,402.7,367.7,279.8,173.8,45.1,13.1,
SOUTH TRIPURA,"(23.5, 91.666667)",30.6,78.5,169.7,335,474.9,497.4,396.8,255.1,175.1,44.5,9.7,
WEST TRIPURA,"(23.916667, 91.5)",27.9,72.1,194.2,359.9,426.6,395.9,323.2,250.6,174.9,41.5,10.3,
DHALAI,"(23.8253158, 91.9732226716333)",38.9,105.5,246.3,431.3,482.7,363.9,338.2,255.9,182.8,42.1,11.4,
COOCH BEHAR,"(26.3223696, 89.4592445)",16,32.2,138.9,345.4,668.8,864.9,733,470.9,141.3,15.1,8.3,
DARJEELING,"(27.0377554, 88.263176)",33.8,57.7,130.5,262.3,534.7,756.9,645.9,502.8,118.9,16.8,9.9,
JALPAIGURI,"(26.4733048, 88.6788668614395)",17.8,39.7,119.3,339.3,667.3,931.4,670.9,488.3,159.9,18,7.2,
MALDA,"(25.0057449, 88.1398483)",10.5,14.5,34.8,106.2,216.6,332.9,284.8,283,102.5,13.2,6.8,
SOUTH DINAJPUR,"(26.2596535, 88.1869372)",13.3,19,58.9,167.8,289.3,368.9,248,279.7,112.5,13,5.6,
NORTH DINAJPUR,"(25.640321049999997, 88.92456308932564)",2,8,35.7,162.9,316,367,307.7,403.8,90.7,9.1,3.2,
NORTH SIKKIM,"(27.666667, 88.5)",98.5,199.5,238.3,355.4,503,489.4,428.2,389.7,265,43.5,22.4,
EAST SIKKIM,"(27.279909699999997, 88.67466491506823)",56.1,61.7,175.5,291.7,464.6,509,441,356.6,154.7,18.4,19.4,
WEST SIKKIM,"(27.41851735, 88.18083382964556)",98.5,199.5,238.3,355.4,503,489.4,428.2,389.7,265,43.5,22.4,
SOUTH SIKKIM,"(27.333333, 88.416667)",56.1,61.7,175.5,291.7,464.6,509,441,356.6,154.7,18.4,19.4,
BANKURA,"(23.13195425, 87.20739720367507)",18,22,36.3,66.9,215,303.2,290.7,242.3,105.2,9.8,9.5,
BIRBHUM,"(24.0, 87.583333)",16.1,21.2,30.9,78.7,222.3,313.9,298.8,271,105.1,15.8,5.6,
BURDWAN,"(23.2495714, 87.8681751)",22.2,19.8,37.8,78.8,198.2,294.1,285.3,251.1,99.8,11.4,6,
HOOGHLY,"(22.9052114, 88.3760639)",26.6,28.2,50.6,108.5,243.4,316.1,265.1,243.3,102.1,16,6.9,
HOWRAH,"(22.5736296, 88.3251045)",24.9,32,52.6,126.4,233.2,343.2,329.4,305.6,99.1,31.3,10.1,
PURULIA,"(23.3291882, 86.3672378)",20.7,24.6,36.1,57.3,222.1,298.7,307,266.7,91.5,16.7,7.6,
MURSHIDABAD,"(24.1745993, 88.2721335)",11.2,19,34,87,237.6,328.6,256.9,256.2,126.3,11,6.5,
NADIA,"(23.4836184, 88.55570832329447)",17.6,21.1,42.1,95.2,234.1,270.8,236,214.1,100.2,10.4,7.8,
KOLKATA,"(22.5726459, 88.3638953)",24.7,33.5,53.1,113.4,278.3,361,335.2,306.6,155.3,24.8,8.9,
BALASORE,"(21.5002888, 86.9202627)",36,38.4,59.2,120.9,259.1,287.2,334.4,296.4,190.1,38.8,6.6,
BOLANGIR,"(20.7502257, 83.2499464)",15.9,20.1,22.7,37.5,200.5,386.2,366.9,220.5,69.5,13.6,6.3,
CUTTACK,"(20.4686, 85.8792)",26.9,28.9,43.2,74.3,227.2,338,352.3,245,124.5,40.2,4.5,
DHENKANAL,"(20.75, 85.5)",20.8,31.3,38.4,71.2,226.1,315.8,369.1,233.4,125.5,25.5,4.6,
GANJAM,"(19.4129711, 85.04710406447731)",22.7,30.3,41.5,85.3,158.8,219.2,245,210.4,198.4,70.8,8.8,
KALAHANDI,"(19.75, 83.0)",15,15.3,25.6,44.2,237.5,368.5,371.8,229.8,72.3,13.4,4.8,
KORAPUT,"(18.7232023, 82.6081182778727)",12.3,16.3,53.2,89.4,200.8,384.1,410.5,267.4,147.6,31.9,3.8,
MAYURBHANJ,"(21.75, 86.5)",25.4,47.9,61.4,110.2,279.7,323.9,373.8,278.5,119.1,23.6,6,
PURI,"(19.8076083, 85.8252538)",25.8,18.9,17.6,65.3,168.9,268.5,328.4,255.7,185.3,56.3,9.4,
SAMBALPUR,"(21.4706422, 83.98368580351055)",19.9,20.1,15.6,32.4,226.6,418.3,464.6,251.6,58.2,9,5.1,
SUNDARGARH,"(22.13327195, 83.97965279931319)",16.3,18,14.4,39.6,216.9,368.3,373.2,217.5,50.4,8.8,5.1,
BHADRAK,"(21.0633288, 86.5053731)",34.1,37.6,53.1,103.9,218.4,269.8,354,227.7,159.5,35.3,4.1,
JAJPUR,"(20.8522696, 86.3385714)",28.4,33.5,48,91.9,250,283.5,363.2,258.1,134.6,33.6,5.9,
KENDRAPARA,"(20.50040085, 86.43170622796478)",32.6,37.2,27.8,90.5,205.8,257.4,362.6,262.7,179.9,70.2,5.5,
ANGUL,"(20.8382426, 85.0973949)",19.1,25.1,29.7,55.4,205.8,320.2,355.4,228,98.1,14.7,3.6,
NAWAPARA,"(24.894842699999998, 87.84391258263065)",11.8,16.9,24,33.9,182.9,347.3,302.1,184.9,60.7,14.8,5.6,
MALKANGIRI,"(18.35835435, 81.89823748747048)",5.5,10.4,35.3,61.6,206.9,437.3,449.2,230.7,116.3,16.9,0.8,
NAYAGARH,"(20.1160666, 85.11195643843573)",22.5,26.2,42,47.7,213.4,312.2,327.4,242.2,152.2,47.9,2.8,
KHURDA,"(25.108663, 79.5434291)",25.9,26.9,30.9,68,186.4,310.8,339.3,251.5,167.7,45.5,6.5,
BARGARH,"(21.347763399999998, 83.65768298821486)",14.9,18.1,14.8,19.5,188.4,362.1,357.4,217.9,51.2,6.8,5.1,
JHARSUGUDA,"(21.87705125, 84.00905063735019)",21.2,18.6,18.4,36.6,224.6,402.3,415.8,239.1,63.8,10.1,7.2,
DEOGARH,"(21.5370786, 84.7301184)",19.9,20.1,15.6,32.4,226.6,418.3,464.6,251.6,58.2,9,5.1,
RAYAGADA,"(19.172095849999998, 83.3350308502498)",23.1,38.5,56,94,173.2,314.6,266.5,206.2,109.4,29,4,
GAJAPATI,"(19.19557415, 84.19297736346317)",35,64.2,79.1,136.8,201.7,241,261.1,226.5,141.8,60.2,5.2,
SONEPUR,"(25.69692585, 85.13577199672577)",14.3,18.5,14.3,30.4,178.2,380.4,432.5,252.3,56.9,6.7,4.9,
BOKARO,"(23.699127949999998, 85.99106894165021)",13.7,18.3,19,38.2,188.6,308.1,300.8,250.7,77.9,14,6.4,
DHANBAD,"(23.7952809, 86.4309638)",17.4,19.5,18.2,49.6,200.9,340.3,310,271.1,99.5,10.5,6.2,
DUMKA,"(24.2538512, 87.30064714192224)",14.5,17.2,26.1,69,203,327.2,304.3,262.4,124.5,12.4,5.5,
HAZARIBAG,"(24.0, 85.25)",15.3,14.8,11.7,35.5,176.9,317.5,289.6,221.9,81.8,7.9,9,
PALAMU,"(23.916667, 84.083333)",12.8,10.8,7.1,15.1,140.3,306.7,298.9,228.6,46.6,5.7,6,
RANCHI,"(23.3700501, 85.3250387)",26.8,21.7,23.6,48.3,217.4,357.1,344.1,241.6,78.7,11.9,10.1,
SAHIBGANJ,"(25.28086285, 87.6211746273445)",6.1,12.6,22,85.2,258.3,399.7,307.6,333.7,99.8,9.9,5.7,
WEST SINGHBHUM,"(22.7859232, 86.1716093)",21.8,23.1,23.9,56.7,208,315.1,342.6,222.7,63.5,9.8,5.5,
DEOGHAR,"(24.4766423, 86.60673245386945)",12.1,9.6,13.5,48,172.3,293.4,266.9,243.6,76.5,9.5,3.3,
GIRIDIH,"(24.1608897, 86.25113503301655)",9.9,13.7,18,40.6,206.5,342.9,275.8,239.8,80.3,8,5.7,
GODDA,"(24.74334305, 87.2928506179686)",9.9,10.9,20.7,54.4,170.7,294.5,253,225,78.7,8,7.1,
GUMLA,"(23.0916741, 84.5738480719802)",20.4,19.1,25.5,47.1,229,372.7,343.2,252.1,68.3,13,8.7,
LOHARDAGA,"(23.46920055, 84.73568423071751)",20.9,20.7,18.3,38.9,186.5,298.2,289.8,230.5,57.7,13.1,8.4,
CHATRA,"(24.20162495, 84.87817691941733)",18.5,11.2,5.8,17.8,157.7,336.5,303,234.1,55.7,5.2,7,
KODERMA,"(24.4931239, 85.55608107203881)",12.1,13,10,28.5,172.7,270.9,268,218,86.5,8.2,7.3,
PAKUR,"(24.6379647, 87.8558666)",12.8,15.2,34.2,86.1,228.5,377.5,339.2,341,143.7,13.4,6.2,
GARHWA,"(24.15529035, 83.82522584408349)",9.6,10.6,6.8,10.5,120.9,288.1,292.8,226,52.6,2.6,5.3,
JAMTARA,"(23.9232867, 86.77353493891458)",20.7,18.5,16.3,66.4,209.4,346.2,342.3,295.9,127.6,12.7,5.6,
LATEHAR,"(23.74186545, 84.51301366522105)",18.6,20.4,9,22.7,168.6,340.7,288.5,224,66.6,7.8,8,
SIMDEGA,"(22.6664325, 84.5502679119221)",18.9,15.5,23.9,35,237.8,459.4,404.7,281.2,58.8,12.6,6.2,
KHUNTI(RANCHI,"(23.0, 85.0)",24.4,24.2,17.4,45.4,243.3,379.8,360.5,267.5,71.4,16.9,9.4,
RAMGARH,"(23.598775949999997, 85.53691564663127)",15,13.3,20.7,47.3,207.1,323.8,287.4,235.5,68.8,9.2,7.7,
BHAGALPUR,"(25.2871758, 87.13033088387233)",10.5,10.2,23.2,65.5,197.8,291,261,227.5,88.5,8.6,6.4,
EAST CHAMPARAN,"(26.5475298, 84.6717583)",9.7,7.8,13.2,49.1,163.5,354.5,297.4,206.2,73.2,4.4,6,
DARBHANGA,"(26.08314325, 86.03257096612822)",9.5,12.3,21.3,59.9,156.7,296.5,285.1,186.3,66.7,8.6,4.7,
GAYA,"(24.7964355, 85.0079563)",10.9,8.7,6.1,18,128.2,298.1,271.9,180.5,53.7,7.5,5.7,
MUNGER,"(25.22081165, 86.51720367235285)",7,10,14.3,44.9,165.5,305.7,271.1,231.7,71.4,6.5,5.8,
MUZAFFARPUR,"(26.1486581, 85.34001282479626)",8.9,7.3,13.3,54,161,326.1,291.7,202.3,63.9,7.8,4.8,
WEST CHAMPARAN,"(26.6919717, 84.5796928)",10.8,12.8,18.3,56.3,229.3,447,349.3,249.4,65.9,5.1,9.2,
PURNEA,"(25.7773601, 87.4731227)",9,12.9,33.7,121.6,244.8,434.2,338.6,295.7,83.4,8.2,7,
GOPALGANJ,"(26.4207265, 84.37406407415165)",10.5,7,12.5,31.6,155.4,309.8,304.3,220.4,55.9,6,7.2,
MADHUBANI,"(26.350071999999997, 86.22914688962271)",9.5,9.3,30.8,79.3,185.2,375.5,307.1,191.7,76,5.7,12.1,
AURANGABAD,"(24.786306, 84.41448983395554)",11.2,7.8,5.7,14.4,122.1,290,253.9,193.6,44.3,7.8,6,
BEGUSARAI,"(25.5127194, 86.09057109140021)",8.4,13.2,17.3,48.9,154.3,296.8,255.3,215.2,63,4.8,5.4,
BHOJPUR,"(25.25, 84.25)",13.4,6.9,10.3,24.9,108.7,334.6,277.6,203.5,45.1,8.6,5.4,
NALANDA,"(25.1364914, 85.44365464855682)",9,9.1,6.1,27.9,127.6,283.6,263.3,202.3,50.7,5.1,5.7,
PATNA,"(25.6093239, 85.1235252)",9.4,9.6,8.1,26.4,125.4,333.7,264.5,217.7,55.5,7.3,4.2,
KATIHAR,"(25.559100100000002, 87.64745595714365)",7.4,9.2,24.6,96,212.2,358.9,269.8,269,74.2,5,4.1,
KHAGARIA,"(25.4916868, 86.69910848212217)",4.2,7.7,15.4,46.3,184,311,297.7,265,82.2,7,3.9,
SARAN,"(25.90835495, 84.78074760594323)",9.4,8.5,9.3,35.6,133.2,334.1,291.8,214.4,59.2,6.5,5.5,
MADHEPURA,"(25.9259562, 86.82042961035677)",9.4,12.3,29.6,84.5,212.8,377.3,304.3,259.1,70.6,13,7.8,
NAWADA,"(24.818123999999997, 85.5185562336921)",9.5,9.6,5.6,34.1,135.2,301.8,276,183.6,62.4,6.2,4.8,
ROHTAS,"(24.6723487, 83.92090397276326)",12.8,9.1,5.9,13.9,90,275.2,278.4,190.9,43,12.1,4.8,
SAMASTIPUR,"(25.7744929, 85.86626813370123)",8.2,10.9,15.2,42.7,176.6,315.1,289.1,244.4,64.4,6.9,3.8,
SITAMARHI,"(26.666667, 85.5)",8.5,9.9,25.6,71.5,200.6,396.6,307.5,179.7,71.7,3.9,7.9,
SIWAN,"(26.1310043, 84.39125660595198)",12.6,9.7,9.6,27.5,137.4,339.1,287.7,240,43.3,8.2,5.2,
VAISHALI,"(25.95322565, 85.14457760191539)",8.4,7.2,14.6,26.8,137.6,375,285.3,223.7,73.3,5.4,3.9,
JAHANABAD,"(35.9945647, 59.0749853)",7.6,7,13.1,23.1,112.5,255.6,255.8,196.5,39.1,7.7,5.8,
BUXAR,"(25.562071500000002, 84.01567204651289)",6.7,6.8,3.7,17.6,110.9,287.1,263,200.2,53.7,6.8,4.8,
ARARIA,"(26.26498795, 87.37162648106798)",8,15.4,36.8,114.5,271.7,444.6,352.4,278.3,84,7.4,5.3,
BANKA,"(24.8655681, 86.87278642295597)",9.3,11.7,15.7,45.9,138.2,271.1,241.7,214.9,84.6,5.7,5.6,
BHABUA,"(25.07634815, 83.63359775892343)",16.4,10,5.5,18.6,131,311.7,299.4,253,42.4,5.5,6.4,
JAMUI,"(24.967852049999998, 86.17351147289283)",8.2,9,9.4,35.1,163.4,311.9,253.3,223.2,70.9,9,3.8,
KISHANGANJ,"(26.130435300000002, 87.94010318229245)",8.2,17.5,51.7,155.7,368.1,579.1,463.5,344.8,80.4,6.8,4.6,
SHEIKHPURA,"(25.12635425, 85.81510620944194)",8.2,8.2,9.7,33.5,144.2,291.6,240.3,189.6,58.1,6.3,5,
SUPAUL,"(26.2768118, 86.79658662614811)",8.7,12.7,23,83.3,200.3,375.1,270.2,210,74.7,4.5,3.7,
LAKHISARAI,"(25.167702900000002, 86.05935924304018)",7,10,14.3,44.9,165.5,305.7,271.1,231.7,71.4,6.5,5.8,
SHEOHAR,"(26.49436945, 85.27280559513997)",8.5,9.9,25.6,71.5,200.6,396.6,307.5,179.7,71.7,3.9,7.9,
ARWAL,"(25.180777149999997, 84.65920203021554)",6.8,5.2,3.2,11.2,112.8,245.4,249.6,181.9,33.3,5.2,3.9,
SAHARSA,"(25.83264165, 86.61489283342814)",10.9,12.8,39.6,107.1,249.4,515.1,352.8,290.8,94.6,3.7,10,
ALLAHABAD,"(25.4381302, 81.8338005)",10,7.6,3.6,6.6,82.1,265.5,278.8,182.3,34.6,9.4,4.6,
AZAMGARH,"(26.02269675, 83.02887343114848)",10.2,8.8,6.1,15.5,95.4,334.3,291.4,231.6,41.5,6.9,4,
BAHRAICH,"(27.7336958, 81.47732127661058)",16,12.5,9,32.9,154.4,336.8,297.2,205.4,51.2,2.5,9.9,
BALLIA,"(25.877932549999997, 84.11995931460379)",8.5,6.7,5.3,20.2,110.9,292.6,260.1,163.6,41.6,5.4,2.6,
BANDA,"(-5.5, 126.5)",11.6,6.3,4.5,12.1,92.1,261,316.4,170.9,36.4,5.5,8.8,
BARABANKI,"(26.93823105, 81.38609761204991)",14.4,8.1,5.8,17.8,112.1,309.7,284.4,224.3,50.3,2.9,8.7,
BASTI,"(26.724789, 82.79326865024002)",10.4,10.9,5.5,20.7,129.4,324.5,289.3,200.4,46.5,2.2,7.5,
DEORIA,"(26.42384715, 83.76273169028727)",17.8,9.2,8.7,24,133.3,316.6,299.9,201.1,53.1,4,5.6,
FAIZABAD,"(26.63807555, 82.05902434378625)",12.4,7.2,4.5,18.8,123,346.6,309.6,210.5,51,2.9,8.8,
FARRUKHABAD,"(27.43719385, 79.48912946503123)",11.1,8,5,12.8,73.5,246,282.3,141.6,52.1,2.4,3.4,
FATEHPUR,"(25.8435395, 80.91800397088501)",11.7,7.2,4.7,8.6,82.2,261.5,286,182.8,39.4,4.9,7.9,
GHAZIPUR,"(25.603508400000003, 83.50745404887138)",9.4,8,4.7,13.9,98.8,266.7,305.7,211.8,49.2,9.6,2.3,
GONDA,"(27.1096669, 81.9183291218813)",9.4,8.3,6.3,22.3,145,335.4,316.6,230.2,59.1,1.6,9,
GORAKHPUR,"(26.6711433, 83.36457243864551)",10.9,10.9,11.5,27.2,166.9,372.4,384.2,252,69.1,6.4,7.9,
HARDOI,"(27.33857665, 80.0975264641719)",13.1,9.5,5.8,16.9,87.3,264.5,268.5,167.6,57.6,2.7,6.5,
JAUNPUR,"(25.7955927, 82.48834097504385)",10.4,6.9,4.6,11.8,91.2,304.7,255.8,222.4,32.1,7.4,5.6,
KANPUR NAGAR,"(26.4402119, 80.26930513416637)",11.9,6,2.6,7.7,62.2,226.4,263.9,144.3,54.9,2.5,7.2,
LUCKNOW,"(26.8381, 80.9346001)",12.3,7.3,4.1,12.2,85.9,254.6,262.2,169.8,47.9,4.1,6.8,
MIRZAPUR,"(25.101047700000002, 82.62574935763521)",12.6,10,3.8,10.3,91,288.3,290.4,231.4,32.9,9.6,4.9,
PRATAPGARH,"(25.75, 81.75)",9.9,8.1,2,9,81.9,288.7,284.1,197.1,34.3,6.8,6.5,
RAE BARELI,"(26.25, 81.25)",9.3,5.8,3,7.6,68.7,257.7,255.9,168,53.5,1.5,8,
SITAPUR,"(27.5046392, 80.82946583420815)",12.1,11.8,5.4,18.4,113.6,272.6,278,200.6,60.1,3.7,8.5,
SULTANPUR,"(26.242510850000002, 82.29616931685918)",8.7,6.3,4.7,16.9,82.5,303.2,273.2,181.8,45.4,2.4,6.2,
UNNAO,"(26.57550365, 80.61376177782856)",15.1,7.4,3.4,10.5,82.9,249.3,286.4,171.7,56.1,2.2,7.3,
VARANASI,"(25.3356491, 83.0076292)",14.5,9.5,4.7,11.8,93.9,311.6,281.4,236.6,37.5,12.2,5.5,
